,Company,Valuation ($B),Country,City,Industry,Select Inverstors,Founded Year,Financial Stage,Investors Count,Deal Terms,Year Joined,Total Raised ($B),years_to_unicorn,Select_Inverstor_1
87,Ro,7.0,United States,New York,Health,"Initialized Capital, General Catalyst, SignalFire",2017,None,27,5,2020,1.027,3,"['Initialized Capital', ' General Catalyst', ' SignalFire']"
88,Automation Anywhere,6.8,United States,San Jose,Artificial intelligence,"General Atlantic, Goldman Sachs, New Enterprise Associates",2003,None,8,3,2018,0.84,15,"['General Atlantic', ' Goldman Sachs', ' New Enterprise Associates']"
89,1Password,6.8,Canada,Toronto,Cybersecurity,"Slack Fund, Accel, Skip Capital",2005,None,30,2,2021,0.92014,16,"['Slack Fund', ' Accel', ' Skip Capital']"
90,Ziroom,6.6,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, Warburg Pincus, General Catalyst",2011,None,12,3,2018,2.121,7,"['Sequoia Capital China', ' Warburg Pincus', ' General Catalyst']"
91,National Stock Exchange of India,6.5,India,Mumbai,Fintech,"TA Associates, SoftBank Group, GS Growth",1992,IPO,7,1,2020,0.1495,28,"['TA Associates', ' SoftBank Group', ' GS Growth']"
92,Mollie,6.5,Netherlands,Amsterdam,Fintech,Technology Crossover Ventures,2004,None,12,2,2020,0.93432,16,['Technology Crossover Ventures']
93,Rippling,6.5,United States,San Francisco,Internet software & services,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",2017,None,15,4,2020,0.44712,3,"['Initialized Capital', ' Y Combinator', ' Kleiner Perkins Caufield & Byers']"
95,DataRobot,6.3,United States,Boston,Artificial intelligence,"New Enterprise Associates, Accomplice, IA Ventures",2012,None,36,7,2019,1.089,7,"['New Enterprise Associates', ' Accomplice', ' IA Ventures']"
96,Personio,6.3,Germany,Munich,Internet software & services,"Global Founders Capital, Nortzone Ventures, Picus Capital",2015,None,17,4,2021,0.52483,6,"['Global Founders Capital', ' Nortzone Ventures', ' Picus Capital']"
97,Upgrade,6.28,United States,San Francisco,Fintech,"Union Square Ventures, Ribbit Capital, VY Capital",2016,None,23,5,2018,0.5625,2,"['Union Square Ventures', ' Ribbit Capital', ' VY Capital']"
98,Hinge Health,6.2,United States,San Francisco,Health,"Atomico, Insight Partners, Coatue Management",2015,None,13,6,2021,0.85385,6,"['Atomico', ' Insight Partners', ' Coatue Management']"
99,Black Unicorn Factory,6.1,United States,Los Angeles,Other,Barter Ventures,2020,None,1,1,2021,0.645,1,['Barter Ventures']
100,Benchling,6.1,United States,San Francisco,Internet software & services,"Thrive Capital, Benchmark, MenloVentures",2012,None,29,5,2021,0.412,9,"['Thrive Capital', ' Benchmark', ' MenloVentures']"
