,Company,Valuation ($B),Country,City,Industry,Select Inverstors,Founded Year,Financial Stage,Investors Count,Deal Terms,Year Joined,Total Raised ($B),years_to_unicorn,Select_Inverstor_1
236,Cloudwalk,3.32,China,Guangzhou,Artificial intelligence,"Oriza Holdings, Guangdong Technology Financial Group",2015,None,38,1,2018,0.7788200000000001,3,"['Oriza Holdings', ' Guangdong Technology Financial Group']"
237,ECARX,3.31,China,Wuhan,Auto & transportation,"Geely, SIG Asia Investments, China State Capital Venture Capital Fund",2016,None,6,3,2020,0.44367,4,"['Geely', ' SIG Asia Investments', ' China State Capital Venture Capital Fund']"
238,Sila Nanotechnologies,3.3,United States,Alameda,Other,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",2011,None,15,2,2019,0.93083,8,"['Bessemer Venture Partners', ' Sutter Hill Ventures', ' Matrix Partners']"
239,Scopely,3.3,United States,Culver City,Mobile & telecommunications,"Greycroft, Sands Capital, Revolution Growth",2011,Acquired,53,7,2019,0.9985,8,"['Greycroft', ' Sands Capital', ' Revolution Growth']"
240,Komodo Health,3.3,United States,San Francisco,Health,"Andreessen Horowitz, IA Ventures, Felicis Ventures",2014,None,10,1,2020,0.315,6,"['Andreessen Horowitz', ' IA Ventures', ' Felicis Ventures']"
241,Kurly,3.3,South Korea,Seoul,"Supply chain, logistics, & delivery","Sequoia Capital China, DST Global, DST Global",2014,None,20,6,2021,0.76986,7,"['Sequoia Capital China', ' DST Global', ' DST Global']"
242,Cars24,3.3,India,Gurgaon,E-commerce & direct-to-consumer,"Moore Strategic Ventures, DST Global, Sequoia Capital India",2015,None,30,5,2020,1.296,5,"['Moore Strategic Ventures', ' DST Global', ' Sequoia Capital India']"
243,BlockDaemon,3.25,United States,Los Angeles,Fintech,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",2016,None,34,2,2021,0.40154,5,"['BOLDstart Ventures', ' Lerer Hippeau', ' Kenetic Capital']"
244,Dadi Cinema,3.24,China,Shenzhen,Other,Alibaba Pictures Group,2006,None,1,1,2016,0.154,10,['Alibaba Pictures Group']
245,Thumbtack,3.2,United States,San Francisco,E-commerce & direct-to-consumer,"Tiger Global, Sequoia Capital, Google Capital",2008,None,26,9,2015,0.69885,7,"['Tiger Global', ' Sequoia Capital', ' Google Capital']"
246,Cedar,3.2,United States,New York,Fintech,"Thrive Capital, Founders Fund, Cocnord Health Partners",2016,None,16,3,2021,0.35081,5,"['Thrive Capital', ' Founders Fund', ' Cocnord Health Partners']"
247,Eruditus Executive Education,3.2,India,Mumbai,Edtech,"Sequoia Capital India, Softbank, Bertelsmann India Investments",2010,None,13,5,2021,0.59346,11,"['Sequoia Capital India', ' Softbank', ' Bertelsmann India Investments']"
248,Blockstream,3.2,Canada,Vancouver,Fintech,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",2014,None,23,4,2021,0.311,7,"['AME Cloud Ventures', ' Future Perfect Ventures', ' Blockchain Capital']"
249,ConsenSys,3.2,United States,New York,Fintech,"Third Point, Electric Capital, Coinbase Ventures",2014,None,24,1,2021,0.2825,7,"['Third Point', ' Electric Capital', ' Coinbase Ventures']"
250,Innovaccer,3.2,United States,San Francisco,Health,"M12, WestBridge Capital, Lightspeed Venture Partners",2014,None,27,4,2021,0.37568,7,"['M12', ' WestBridge Capital', ' Lightspeed Venture Partners']"
251,Ironclad,3.2,United States,Sacramento,Internet software & services,"Accel, Sequoia Capital, Y Combinator",2014,None,10,3,2022,0.33112,8,"['Accel', ' Sequoia Capital', ' Y Combinator']"
252,Skims,3.2,United States,Los Angeles,E-commerce & direct-to-consumer,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",2019,None,5,2,2021,0.394,2,"['Thrive Capital', ' Alliance Consumer Growth', ' Imaginary Ventures']"
253,PsiQuantum,3.15,United States,Palo Alto,Hardware,"Playground Global, M12, BlackRock",2016,None,10,1,2021,0.7285,5,"['Playground Global', ' M12', ' BlackRock']"
254,SpotOn,3.15,United States,San Francisco,Fintech,"Dragoneer Investment Group, DST Global, Franklin Templeton",2017,None,13,3,2021,0.6,4,"['Dragoneer Investment Group', ' DST Global', ' Franklin Templeton']"
255,Udaan,3.1,India,Bengaluru,"Supply chain, logistics, & delivery","DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",2016,None,21,5,2018,1.447,2,"['DST Global', ' Lightspeed Venture Partners', ' Microsoft ScaleUp']"
256,HighRadius,3.1,United States,Houston,Fintech,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",2006,None,11,2,2020,0.475,14,"['Susquehanna Growth Equity', ' Citi Ventures', ' ICONIQ Capital']"
257,Nuvemshop,3.1,Brazil,Sao Paulo,E-commerce & direct-to-consumer,"Kaszek Ventures, Qualcomm Ventures, Accel",2011,None,24,2,2021,0.6283,10,"['Kaszek Ventures', ' Qualcomm Ventures', ' Accel']"
258,DailyHunt,3.1,India,Bengaluru,Internet software & services,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India",2007,None,24,7,2020,0.8686699999999999,13,"['Falcon Edge Capital', ' Omidyar Network', ' Sequoia Capital India']"
259,Yixia,3.0,China,Beijing,Mobile & telecommunications,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures",2011,None,10,2,2015,0.775,4,"['Sequoia Capital China', ' Sina Weibo', ' Kleiner Perkins Caufield & Byers', ' Redpoint Ventures']"
260,Traveloka,3.0,Indonesia,Jakarta,Travel,"Global Founders Capital, East Ventures, Expedia Inc.",2012,None,8,3,2017,1.17,5,"['Global Founders Capital', ' East Ventures', ' Expedia Inc.']"
261,SouChe Holdings,3.0,China,Hangzhou,E-commerce & direct-to-consumer,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",2012,None,22,2,2017,1.282,5,"['Morningside Ventures', ' Warburg Pincus', ' CreditEase Fintech Investment Fund']"
262,BGL Group,3.0,United Kingdom,Peterborough,Fintech,CPP Investment Board,1992,Divestiture,1,1,2017,0.9,25,['CPP Investment Board']
263,Circle,3.0,United States,Boston,Fintech,"General Catalyst, Digital Currency Group, Accel",2013,Divestiture,34,6,2018,0.7125,5,"['General Catalyst', ' Digital Currency Group', ' Accel']"
264,Zuoyebang,3.0,China,Beijing,Edtech,"Sequoia Capital China, Xiang He Capital, GGV Capital",2014,None,17,2,2018,3.435,4,"['Sequoia Capital China', ' Xiang He Capital', ' GGV Capital']"
265,Delhivery,3.0,India,Gurgaon,"Supply chain, logistics, & delivery","Times Internet, Nexus Venture Partners, SoftBank Group",2011,None,16,5,2019,1.361,8,"['Times Internet', ' Nexus Venture Partners', ' SoftBank Group']"
266,FlixMobility,3.0,Germany,Munich,Auto & transportation,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",2013,None,16,3,2019,1.211,6,"['Holtzbrinck Ventures', ' Unternehmertum Venture Capital', ' General Atlantic']"
267,Wildlife Studios,3.0,Brazil,Sao Paulo,Other,"Benchmark, Bessemer Venture Partners",2011,None,9,2,2019,0.18,8,"['Benchmark', ' Bessemer Venture Partners']"
268,ApplyBoard,3.0,Canada,Kitchener,Edtech,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",2015,None,19,3,2020,0.47991,5,"['Artiman Ventures', ' Plug and Play Ventures', ' Anthos Capital']"
269,Forter,3.0,United States,New York,Cybersecurity,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",2013,None,17,4,2020,0.525,7,"['Sequoia Capital Israel', ' Scale Venture Partners', ' Commerce Ventures']"
270,Calendly,3.0,United States,Atlanta,Internet software & services,"ICONIQ Capital, OpenView Venture Partners",2013,None,4,1,2021,0.35055000000000003,8,"['ICONIQ Capital', ' OpenView Venture Partners']"
271,BlockFi,3.0,United States,Jersey City,Fintech,"ConsenSys Ventures, Valar Ventures, PUC",2017,None,44,3,2021,0.51275,4,"['ConsenSys Ventures', ' Valar Ventures', ' PUC']"
272,ActiveCampaign,3.0,United States,Chicago,Internet software & services,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",2003,None,4,1,2021,0.36,18,"['Silversmith Capital Partners', ' Susquehanna Growth Equity', ' Tiger Global Management']"
273,CMR Surgical,3.0,United Kingdom,Cambridge,Health,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",2014,None,14,4,2019,0.9863,5,"['Cambridge Innovation Capital', ' LGT Capital Partners', ' Escala Capital']"
274,Lucid Software,3.0,United States,South Jordan,Internet software & services,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital",2010,None,14,4,2021,0.166,11,"['Spectrum Equity', ' ICONIQ Capital', ' Grayhawk Capital']"
275,Age of Learning,3.0,United States,Glendale,Edtech,Iconiq Capital,2007,None,4,2,2016,0.4815,9,['Iconiq Capital']
276,Carbon Health,3.0,United States,San Francisco,Health,"Brookfield Asset Management, Blackstone, Data Collective",2015,None,36,2,2021,0.52318,6,"['Brookfield Asset Management', ' Blackstone', ' Data Collective']"
277,Contentful,3.0,Germany,Berlin,Internet software & services,"Balderton Capital, General Catalyst, Tiger Global Management",2013,None,13,3,2021,0.331,8,"['Balderton Capital', ' General Catalyst', ' Tiger Global Management']"
278,LaunchDarkly,3.0,United States,Oakland,Internet software & services,"Uncork Capital, Threshold Ventures, Bloomberg Beta",2014,None,13,4,2021,0.33033999999999997,7,"['Uncork Capital', ' Threshold Ventures', ' Bloomberg Beta']"
279,Seismic,3.0,United States,San Diego,Internet software & services,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",2010,None,8,6,2018,0.4265,8,"['Jackson Square Ventures', ' General Atlantic', ' Lightspeed Venture Partners']"
280,Grafana Labs,3.0,United States,New York,Internet software & services,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",2014,None,5,1,2021,0.33023,7,"['Lightspeed Venture Partners', ' Lead Edge Capital', ' Coatue Management']"
281,Gorillas,3.1,Germany,Berlin,E-commerce & direct-to-consumer,"Coatue Management, Atlantic Food Labs, DST Global",2020,None,14,2,2021,1.335,1,"['Coatue Management', ' Atlantic Food Labs', ' DST Global']"
282,Sky Mavis,3.0,Vietnam,Ho Chi Minh City,Internet software & services,"Fabric Ventures, 500 Global, Standard Crypto",2019,None,18,1,2021,0.161,2,"['Fabric Ventures', ' 500 Global', ' Standard Crypto']"
283,Outschool,3.0,United States,San Francisco,Edtech,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",2015,None,13,2,2021,0.24002,6,"['Uniion Square Ventures', ' Tiger Global Management', ' Lightspeed Venture Capital']"
284,TradingView,3.0,United States,Westerville,Fintech,"Tiger Global Management, Insight Partners, Jump Capital",2011,None,10,4,2021,0.33937,10,"['Tiger Global Management', ' Insight Partners', ' Jump Capital']"
285,Groww,3.0,India,Bengaluru,Fintech,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",2017,None,17,3,2021,0.39988999999999997,4,"['Tiger Global Management', ' Sequoia Capital India', ' Ribbit Capital']"
286,Podium,3.0,United States,Lehi,Internet software & services,"Accel, Summit Partners, Google Ventures",2014,None,12,4,2020,0.42222000000000004,6,"['Accel', ' Summit Partners', ' Google Ventures']"
287,Via,3.3,United States,New York,Auto & transportation,"83North, RiverPark Ventures, Pitango Venture Capital",2012,None,23,6,2020,0.6970599999999999,8,"['83North', ' RiverPark Ventures', ' Pitango Venture Capital']"
288,Anchorage Digital,3.0,United States,San Francisco,Fintech,"Andreessen Horowitz, Blockchain Capital, Lux Capital",2017,None,28,1,2021,0.487,4,"['Andreessen Horowitz', ' Blockchain Capital', ' Lux Capital']"
289,Inxeption,3.0,United States,San Francisco,Fintech,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",2017,None,5,1,2022,0.4865,5,"['Coatue Management', ' BMO Capital', ' Schonfeld Strategic Advisors']"
290,Lattice,3.0,United States,San Francisco,Internet software & services,"Khosla Ventures, Thrive Capital, Y Combinator",2015,None,17,6,2021,0.32932,6,"['Khosla Ventures', ' Thrive Capital', ' Y Combinator']"
291,Flutterwave,3.0,United States,San Francisco,Fintech,"Green Visor Capital, CRE Venture Capital, Greycroft",2016,None,41,5,2021,0.47470999999999997,5,"['Green Visor Capital', ' CRE Venture Capital', ' Greycroft']"
292,Amber Group,3.0,Hong Kong,Fintech,"Tiger Global Management, Tiger Brokers, DCM Ventures",None,2015,None,18,3,2021,0.328,6,['None']
293,Kraken,2.92,United States,San Francisco,Fintech,"Bnk To The Future, Trammell Ventures, SBI Investment",2011,None,11,1,2019,0.01857,8,"['Bnk To The Future', ' Trammell Ventures', ' SBI Investment']"
294,OpenAI,2.92,United States,San Francisco,Artificial intelligence,Khosla Ventures,2015,None,6,None,2019,1.25,4,['Khosla Ventures']
295,Ovo,2.9,Indonesia,Jakarta,Fintech,"Grab, Tokopedia, Tokyo Century Corporation",2017,Acquired,3,1,2019,0.116,2,"['Grab', ' Tokopedia', ' Tokyo Century Corporation']"
296,Workrise,2.9,United States,Austin,Internet software & services,"Founders Fund, Quantum Energy Partners, Bedrock Capital",2014,None,16,5,2019,0.7525,5,"['Founders Fund', ' Quantum Energy Partners', ' Bedrock Capital']"
297,Loft,2.9,Brazil,Sao Paulo,E-commerce & direct-to-consumer,"Monashees+, Andreessen Horowitz, QED Investors",2018,None,34,4,2020,0.788,2,"['Monashees+', ' Andreessen Horowitz', ' QED Investors']"
298,BharatPe,2.85,India,New Delhi,Fintech,"Insight Partners, Sequoia Capital India, BEENEXT",2018,None,22,4,2021,0.70225,3,"['Insight Partners', ' Sequoia Capital India', ' BEENEXT']"
299,DriveWealth,2.85,United States,Chatham,Fintech,"Point72 Ventures, Route 66 Ventures, Accel",2012,None,13,3,2021,0.53771,9,"['Point72 Ventures', ' Route 66 Ventures', ' Accel']"
300,Flink,2.85,Germany,Berlin,E-commerce & direct-to-consumer,"Mubadala Capital, Bond, Prosus Ventures",2021,None,10,1,2021,1.042,0,"['Mubadala Capital', ' Bond', ' Prosus Ventures']"
301,Meicai,2.8,China,Beijing,Mobile & telecommunications,"Tiger Global Management, Blue Lake Capital, ZhenFund",2014,None,9,1,2016,0.6516000000000001,2,"['Tiger Global Management', ' Blue Lake Capital', ' ZhenFund']"
302,ContentSquare,2.8,France,Paris,Internet software & services,"Highland Europe, Eurazeo, Canaan Partners",2012,None,11,3,2021,0.812,9,"['Highland Europe', ' Eurazeo', ' Canaan Partners']"
303,Zipline,2.8,United States,South San Francisco,"Supply chain, logistics, & delivery","Sequoia Capital, Baillie Gifford & Co., Google Ventures",2014,None,37,4,2019,0.48716000000000004,5,"['Sequoia Capital', ' Baillie Gifford & Co.', ' Google Ventures']"
304,Graphcore,2.77,United Kingdom,Bristol,Artificial intelligence,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",2016,None,29,5,2018,0.682,2,"['Dell Technologies Capital', ' Pitango Venture Capital', ' Amadeus Capital Partners']"
305,Illumio,2.75,United States,Sunnyvale,Cybersecurity,"Data Collective, Formation 8, General Catalyst Partners",2013,None,18,5,2015,0.5571499999999999,2,"['Data Collective', ' Formation 8', ' General Catalyst Partners']"
306,Convoy,2.75,United States,Seattle,"Supply chain, logistics, & delivery","Greylock Partners, capitalG, Y Combinator",2015,None,43,4,2018,0.6754600000000001,3,"['Greylock Partners', ' capitalG', ' Y Combinator']"
307,MasterClass,2.75,United States,San Francisco,Edtech,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",2015,None,31,4,2021,0.4614,6,"['Institutional Venture Partners', ' New Enterprise Associates', ' Javelin Venture Partners']"
308,Dream Games,2.75,Turkey,Istanbul,Mobile & telecommunications,"Makers Fund, Index Ventures, Inova Ventures Participacees",2019,None,6,3,2021,0.4672,2,"['Makers Fund', ' Index Ventures', ' Inova Ventures Participacees']"
309,Transmit Security,2.74,Israel,Tel Aviv,Cybersecurity,"General Atlantic, Insight Partners, Vintage Investment Partners",2014,None,11,1,2021,0.583,7,"['General Atlantic', ' Insight Partners', ' Vintage Investment Partners']"
310,Hozon Auto,3.95,China,Shanghai,Auto & transportation,"HD Capital, Qihoo 360 Technology, China Fortune Land Development",2014,None,13,2,2021,3.146,7,"['HD Capital', ' Qihoo 360 Technology', ' China Fortune Land Development']"
311,Tradeshift,2.7,United States,San Francisco,Fintech,"Notion Capital, Scentan Ventures, Kite Ventures",2009,None,28,9,2018,1.103,9,"['Notion Capital', ' Scentan Ventures', ' Kite Ventures']"
312,Nextiva,2.7,United States,Scottsdale,Internet software & services,Goldman Sachs Asset Management,2008,None,2,1,2021,0.2075,13,['Goldman Sachs Asset Management']
313,o9 Solutions,2.7,United States,Dallas,Artificial intelligence,KKR,2009,None,3,2,2020,0.42,11,['KKR']
314,ManoMano,2.6,France,Paris,E-commerce & direct-to-consumer,"General Atlantic, Piton Capital, Partech Partners",2013,None,12,3,2021,0.70873,8,"['General Atlantic', ' Piton Capital', ' Partech Partners']"
315,Sourcegraph,2.62,United States,San Francisco,Internet software & services,"Redpoint Ventures, Goldcrest Capital, Insight Partners",2013,None,8,2,2021,0.223,8,"['Redpoint Ventures', ' Goldcrest Capital', ' Insight Partners']"
316,Pendo,2.6,United States,Raleigh,Internet software & services,"Contour Venture Partners, Battery Ventures, Core Capital Partners",2013,None,18,4,2019,0.35917,6,"['Contour Venture Partners', ' Battery Ventures', ' Core Capital Partners']"
317,Plume,2.6,United States,Palo Alto,Internet software & services,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",2015,None,15,6,2021,0.71293,6,"['Insight Partners', ' Jackson Square Ventures', ' Liberty Gloval Ventures']"
318,Moglix,2.6,Singapore,E-commerce & direct-to-consumer,"Jungle Ventures, Accel, Venture Highway",None,2015,None,16,6,2021,0.47070999999999996,6,['None']
319,Xinchao Media,2.0,China,Chengdu,Internet software & services,"JD.com, Baidu, Vision Plus Capital",2007,IPO,8,4,2018,1.33,11,"['JD.com', ' Baidu', ' Vision Plus Capital']"
320,JumpCloud,2.62,United States,Louisville,Data management & analytics,"Foundry Group, General Atlantic, BlackRock",2012,None,20,4,2021,0.41845,9,"['Foundry Group', ' General Atlantic', ' BlackRock']"
321,Vista Global,2.5,United Arab Emirates,Dubai,Other,Rhone Capital,2004,None,20,4,2017,0.41845,13,['Rhone Capital']
322,BYTON,2.5,China,Nanjing,Auto & transportation,"FAW Group, Tencent Holdings, Tus Holdings",2016,None,11,3,2018,1.208,2,"['FAW Group', ' Tencent Holdings', ' Tus Holdings']"
323,Acronis,2.5,Switzerland,Schaffhausen,Cybersecurity,"Goldman Sachs, VebVentures, Insight Partners",2003,None,8,2,2019,0.42751,16,"['Goldman Sachs', ' VebVentures', ' Insight Partners']"
324,Side,2.5,United States,San Francisco,Internet software & services,"Coatue Managemeny, Trinity Ventures, Matrix Partners",2017,None,10,2,2021,0.26282,4,"['Coatue Managemeny', ' Trinity Ventures', ' Matrix Partners']"
325,Lenskart,2.5,India,Faridabad,E-commerce & direct-to-consumer,"Chiratae Ventures, PremjiInvest, Softbank",2008,Acquired,18,9,2019,0.6759,11,"['Chiratae Ventures', ' PremjiInvest', ' Softbank']"
326,Infra.Market,2.5,India,Thane,E-commerce & direct-to-consumer,"Accel, Tiger Global Management, Nexus Venture Partners",2016,None,26,2,2021,0.38139999999999996,5,"['Accel', ' Tiger Global Management', ' Nexus Venture Partners']"
327,Varo Bank,2.5,United States,San Francisco,Fintech,"Warburg Pincus, The Rise Fund, HarbourVest Partners",2015,None,14,3,2021,0.99133,6,"['Warburg Pincus', ' The Rise Fund', ' HarbourVest Partners']"
328,Cato Networks,2.5,Israel,Tel Aviv,Cybersecurity,"Aspect Ventures, SingTel Innov8, Greylock Partners",2015,None,10,4,2020,0.512,5,"['Aspect Ventures', ' SingTel Innov8', ' Greylock Partners']"
329,Aura,2.5,United States,Burlington,Cybersecurity,"Warburg Pincus, General Catalyst",2019,None,6,2,2021,0.5618200000000001,2,"['Warburg Pincus', ' General Catalyst']"
330,Vercel,2.5,United States,San Francisco,Internet software & services,"CRV, Accel, Google Ventures",2015,None,16,2,2021,0.313,6,"['CRV', ' Accel', ' Google Ventures']"
331,Sysdig,2.5,United States,San Francisco,Cybersecurity,"Accel, Bain Capital Ventures, Insight Partners",2013,None,12,4,2021,0.7282000000000001,8,"['Accel', ' Bain Capital Ventures', ' Insight Partners']"
332,Zetwerk,2.5,India,Bengaluru,Internet software & services,"Sequoia Capital India, Kae Capital, Accel",2018,None,24,3,2021,0.65667,3,"['Sequoia Capital India', ' Kae Capital', ' Accel']"
333,Uniphore,2.5,United States,Palo Alto,Artificial Intelligence,"Chiratae Ventures, March Capital Partners, National Grid Partners",2008,None,25,3,2022,0.62663,14,"['Chiratae Ventures', ' March Capital Partners', ' National Grid Partners']"
334,Somatus,2.5,United States,McLean,Health,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",2016,None,14,3,2022,0.465,6,"['The Blue Venture Fund', ' Flare Capital Partners', ' Longitude Capital']"
335,Uala,2.45,Argentina,Buenos Aires,Fintech,"Soros Fund Management, Ribbit Capital, Monashees+",2017,None,21,4,2021,0.608,4,"['Soros Fund Management', ' Ribbit Capital', ' Monashees+']"
336,Mobile Premier League,2.45,India,Bengaluru,Internet software & services,"Sequoia Capital India, RTP Global, Go-Ventures",2018,None,30,3,2021,0.3777,3,"['Sequoia Capital India', ' RTP Global', ' Go-Ventures']"
337,Cybereason,2.44,United States,Boston,Cybersecurity,"SoftBank Group, CRV, Spark Capital",2012,None,8,5,2019,0.71362,7,"['SoftBank Group', ' CRV', ' Spark Capital']"
338,Cgtz,2.41,China,Hangzhou,Fintech,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",2014,None,4,1,2017,0.53586,3,"['Shunwei Capital Partners', ' China Media Group', ' Guangzhou Huiyin Aofeng Equity Investment Fund']"
339,Star Charge,2.41,China,Changzhou,Auto & transportation,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",2014,None,9,1,2021,0.12558,7,"['Shunwei Capital Partners', ' China Media Group', ' Guangzhou Huiyin Aofeng Equity Investment Fund']"
340,Carbon,2.4,United States,Redwood City,Hardware,"Google Ventures, Sequoia Capital, Wakefield Group",2013,None,24,5,2015,0.692,2,"['Google Ventures', ' Sequoia Capital', ' Wakefield Group']"
341,PolicyBazaar,2.4,India,Gurgaon,Fintech,"Info Edge, Softbank Capital",2008,None,22,7,2019,0.63378,11,"['Info Edge', ' Softbank Capital']"
343,Exabeam,2.4,United States,Foster City,Cybersecurity,"Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners",2013,None,9,5,2021,0.39,8,"['Norwest Venture Partners', ' Aspect Ventures', ' Lightspeed Venture Partners']"
344,BitSight Technologies,2.4,United States,Boston,Cybersecurity,"Menlo Ventures, GGV Capital, Flybridge Capital Partners",2013,None,9,5,2021,0.39,8,"['Menlo Ventures', ' GGV Capital', ' Flybridge Capital Partners']"
345,Trumid,2.4,United States,New York,Fintech,"T. Rowe Price, Dragoneer Investment Group, BlackRock",2014,None,22,5,2020,0.71173,6,"['T. Rowe Price', ' Dragoneer Investment Group', ' BlackRock']"
346,ABL Space Systems,2.4,United States,El Segundo,Other,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment",2017,None,9,2,2021,0.4835,4,"['T. Rowe Price', ' Lockheed Martin Ventures', ' Fidelity Investment']"
347,Project44,2.62,United States,Chicago,"Supply chain, logistics, & delivery","Emergence Capital Partners, 8VC, Chicago Ventures",2014,None,20,4,2021,0.9288,7,"['Emergence Capital Partners', ' 8VC', ' Chicago Ventures']"
348,Bought By Many,2.35,United Kingdom,London,Fintech,"Octopus Ventures, Munich Re Ventures, CommerzVentures",2012,None,8,3,2021,0.47726999999999997,9,"['Octopus Ventures', ' Munich Re Ventures', ' CommerzVentures']"
349,Jobandtalent,2.35,Spain,Madrid,Internet software & services,"Kibo Ventures, SoftBank Group, Atomico",2009,None,20,3,2021,1.072,12,"['Kibo Ventures', ' SoftBank Group', ' Atomico']"
350,WEMAKEPRICE,2.34,South Korea,Seoul,E-commerce & direct-to-consumer,"IMM Investment, NXC",2009,None,3,4,2015,0.48664999999999997,6,"['IMM Investment', ' NXC']"
351,Biren Technology,2.32,China,Shanghai,Hardware,"V FUND, IDG Capital, Green Pine Capital Partners",2019,None,32,3,2020,0.28822000000000003,1,"['V FUND', ' IDG Capital', ' Green Pine Capital Partners']"
352,Voodoo,2.31,France,Paris,Other,"Tencent Holdings, Goldman Sachs",2013,None,3,2,2020,0.5699500000000001,7,"['Tencent Holdings', ' Goldman Sachs']"
353,Uptake,2.3,United States,Chicago,Artificial intelligence,"Revolution, New Enterprise Associates, Caterpillar",2014,None,8,4,2015,0.317,1,"['Revolution', ' New Enterprise Associates', ' Caterpillar']"
354,KeepTruckin,2.3,United States,San Francisco,"Supply chain, logistics, & delivery","Google Ventures, Index Ventures, Scale Venture Partners",2013,None,8,5,2019,0.4173,6,"['Google Ventures', ' Index Ventures', ' Scale Venture Partners']"
355,Skydance Media,2.3,United States,Santa Monica,Other,"RedBird Capital Partners, CJ ENM, Tencent Holdings",2010,None,4,1,2020,2.075,10,"['RedBird Capital Partners', ' CJ ENM', ' Tencent Holdings']"
356,Greenlight,2.3,United States,Atlanta,Fintech,"Relay Ventures, TTV Capital, Canapi Ventures",2014,None,22,3,2020,0.5565,6,"['Relay Ventures', ' TTV Capital', ' Canapi Ventures']"
357,Bowery Farming,2.3,United States,New York,Other,"Temasek, Google Ventures, General Catalyst",2015,None,31,2,2021,0.6309,6,"['Temasek', ' Google Ventures', ' General Catalyst']"
358,Odoo,2.3,Belgium,Louvain-la-Neuve,Internet software & services,"Summit Partners, Noshaq, Sofinnova Partners",2005,None,6,1,2021,0.319,16,"['Summit Partners', ' Noshaq', ' Sofinnova Partners']"
359,MoMo,2.27,Vietnam,Ho Chi Minh City,Fintech,"Goodwater Capital, Warburg Pincus, GS Growth",2013,None,10,3,2021,0.4337,8,"['Goodwater Capital', ' Warburg Pincus', ' GS Growth']"
360,Ankorstore,2.26,France,Paris,E-commerce & direct-to-consumer,"Global Founders Capital, Aglae Ventures, Alven Capital",2019,None,9,1,2022,0.42089,3,"['Global Founders Capital', ' Aglae Ventures', ' Alven Capital']"
361,Zume,2.25,United States,Mountain View,Consumer & retail,"Softbank Group, AME Cloud Ventures, SignalFire",2015,None,6,3,2018,0.44569,3,"['Softbank Group', ' AME Cloud Ventures', ' SignalFire']"
362,Algolia,2.25,United States,San Francisco,Internet software & services,"Accel, Alven Capital, Storm Ventures",2012,None,28,3,2021,0.33433999999999997,9,"['Accel', ' Alven Capital', ' Storm Ventures']"
363,Pattern,2.25,United States,Lehi,Internet software & services,"Knox Lane, Ainge Advisory, Carlson Private Capital Partners,/td>",2013,None,5,1,2021,0.277,8,"['Knox Lane', ' Ainge Advisory', ' Carlson Private Capital Partners', '/td>']"
365,MUSINSA,2.2,South Korea,Seoul,E-commerce & direct-to-consumer,Sequoia Capital,2001,None,2,2,2019,0.28636,18,['Sequoia Capital']
366,Current,2.2,United States,New York,Fintech,"Expa, QED Investors, Foundation Capital",2015,None,18,3,2021,0.38341000000000003,6,"['Expa', ' QED Investors', ' Foundation Capital']"
367,Bitso,2.2,Mexico,Mexico City,Fintech,"Pantera Capital, QED Investors, Coinbase Ventures",2014,None,22,2,2021,0.31466000000000005,7,"['Pantera Capital', ' QED Investors', ' Coinbase Ventures']"
368,Gympass,2.2,United States,New York,Internet software & services,"General Atlantic, SoftBank Group, Atomico",2012,None,10,2,2019,0.52916,7,"['General Atlantic', ' SoftBank Group', ' Atomico']"
369,Reify Health,2.2,United States,Boston,Health,"Sierra Ventures, Battery Ventures, Asset Management Ventures",2012,None,8,2,2021,0.25764,9,"['Sierra Ventures', ' Battery Ventures', ' Asset Management Ventures']"
